actual,prediction,error,index,hr,workingday,season,weathersit,time_of_day
402,456.0,54.0,165,4,0,1,3,Night
208,192.4,15.599999999999994,166,5,0,1,2,Morning
196,231.6,35.599999999999994,167,6,0,1,2,Morning
300,252.8,47.19999999999999,168,7,0,1,2,Morning
286,239.6,46.400000000000006,169,8,0,1,3,Morning
255,227.6,27.400000000000006,170,9,0,1,3,Morning
283,277.8,5.199999999999989,171,10,0,1,2,Morning
458,381.6,76.39999999999998,172,11,0,1,2,Morning
812,704.6,107.39999999999998,173,12,0,1,2,Afternoon
854,731.2,122.79999999999995,174,13,0,1,1,Afternoon
627,581.4,45.60000000000002,175,14,0,1,1,Afternoon
436,443.0,7.0,176,15,0,1,1,Afternoon
308,322.2,14.199999999999989,177,16,0,1,1,Afternoon
189,220.0,31.0,178,17,0,1,1,Evening
167,144.8,22.19999999999999,179,18,0,1,1,Evening
60,49.2,10.799999999999997,180,19,0,1,1,Evening
37,102.4,65.4,181,20,0,1,1,Evening
8,93.0,85.0,182,21,0,1,1,Evening
11,77.6,66.6,183,22,0,1,1,Night
4,12.8,8.8,184,23,0,1,1,Night
39,66.8,27.799999999999997,185,0,0,1,1,Night
172,178.8,6.800000000000011,186,1,0,1,1,Night
492,503.4,11.399999999999977,187,2,0,1,1,Night
682,596.2,85.79999999999995,188,3,0,1,1,Night
367,319.2,47.80000000000001,189,4,0,1,1,Night
233,195.8,37.19999999999999,190,5,0,1,1,Morning
235,212.4,22.599999999999994,191,6,0,1,1,Morning
307,293.4,13.600000000000023,192,7,0,1,1,Morning
294,266.2,27.80000000000001,193,8,0,1,1,Morning
255,245.6,9.400000000000006,194,9,0,1,1,Morning
266,318.6,52.60000000000002,195,10,0,1,1,Morning
431,375.2,55.80000000000001,196,11,0,1,1,Morning
851,694.6,156.39999999999998,197,12,0,1,1,Afternoon
848,694.0,154.0,198,13,0,1,1,Afternoon
649,616.6,32.39999999999998,199,14,0,1,1,Afternoon
427,394.2,32.80000000000001,200,15,0,1,1,Afternoon
315,354.2,39.19999999999999,201,16,0,1,1,Afternoon
226,248.6,22.599999999999994,202,17,0,1,1,Evening
138,140.4,2.4000000000000057,203,18,0,1,1,Evening
76,42.6,33.4,204,19,0,1,1,Evening
21,26.2,5.199999999999999,205,20,0,1,1,Evening
15,11.8,3.1999999999999993,206,21,0,1,1,Evening
4,40.2,36.2,207,22,0,1,1,Night
5,92.8,87.8,208,23,0,1,1,Night
37,37.8,0.7999999999999972,209,0,1,1,1,Night
165,135.6,29.400000000000006,210,1,1,1,1,Night
464,459.2,4.800000000000011,211,2,1,1,1,Night
682,676.6,5.399999999999977,212,3,1,1,1,Night
337,403.2,66.19999999999999,213,4,1,1,1,Night
199,200.6,1.5999999999999943,214,5,1,1,1,Morning
274,205.8,68.19999999999999,215,6,1,1,1,Morning
343,298.6,44.39999999999998,216,7,1,1,1,Morning
300,289.2,10.800000000000011,217,8,1,1,2,Morning
248,227.4,20.599999999999994,218,9,1,1,2,Morning
260,276.8,16.80000000000001,219,10,1,1,2,Morning
419,368.0,51.0,220,11,1,1,2,Morning
897,756.8,140.20000000000005,221,12,1,1,2,Afternoon
832,773.6,58.39999999999998,222,13,1,1,2,Afternoon
677,549.2,127.79999999999995,223,14,1,1,2,Afternoon
514,440.8,73.19999999999999,224,15,1,1,2,Afternoon
356,349.4,6.600000000000023,225,16,1,1,1,Afternoon
254,264.4,10.399999999999977,226,17,1,1,1,Evening
226,153.2,72.80000000000001,227,18,1,1,1,Evening
88,69.4,18.599999999999994,228,19,1,1,1,Evening
54,32.4,21.6,229,20,1,1,1,Evening
19,14.6,4.4,230,21,1,1,1,Evening
6,8.8,2.8000000000000007,231,22,1,1,1,Night
9,7.6,1.4000000000000004,232,23,1,1,1,Night
36,28.8,7.199999999999999,233,0,1,1,1,Night
157,133.6,23.400000000000006,234,1,1,1,1,Night
379,380.0,1.0,235,2,1,1,2,Night
668,585.2,82.79999999999995,236,5,1,1,2,Morning
378,291.2,86.80000000000001,237,6,1,1,2,Morning
231,152.2,78.80000000000001,238,7,1,1,2,Morning
303,234.6,68.4,239,8,1,1,2,Morning
365,310.4,54.60000000000002,240,9,1,1,2,Morning
357,348.8,8.199999999999989,241,10,1,1,2,Morning
328,331.0,3.0,242,11,1,1,2,Morning
383,268.8,114.19999999999999,243,12,1,1,2,Afternoon
488,382.8,105.19999999999999,244,13,1,1,2,Afternoon
791,572.8,218.20000000000005,245,14,1,1,2,Afternoon
669,504.4,164.60000000000002,246,15,1,1,2,Afternoon
491,286.6,204.39999999999998,247,16,1,1,2,Afternoon
359,288.4,70.60000000000002,248,17,1,1,2,Evening
255,203.4,51.599999999999994,249,18,1,1,3,Evening
213,72.0,141.0,250,19,1,1,3,Evening
121,93.0,28.0,251,20,1,1,3,Evening
105,95.6,9.400000000000006,252,21,1,1,3,Evening
92,69.4,22.599999999999994,253,22,1,1,3,Night
43,72.8,29.799999999999997,254,23,1,1,3,Night
30,82.0,52.0,255,0,1,1,2,Night
13,35.2,22.200000000000003,256,1,1,1,2,Night
9,21.8,12.8,257,2,1,1,1,Night
27,30.8,3.8000000000000007,258,5,1,1,1,Morning
64,69.6,5.599999999999994,259,6,1,1,1,Morning
189,113.0,76.0,260,7,1,1,1,Morning
292,257.6,34.39999999999998,261,8,1,1,1,Morning
480,373.8,106.19999999999999,262,9,1,1,1,Morning
536,400.6,135.39999999999998,263,10,1,1,1,Morning
654,497.8,156.2,264,11,1,1,1,Morning
644,479.0,165.0,265,12,1,1,1,Afternoon
598,472.8,125.19999999999999,266,13,1,1,1,Afternoon
596,466.8,129.2,267,14,1,1,1,Afternoon
641,448.8,192.2,268,15,1,1,1,Afternoon
635,453.2,181.8,269,16,1,1,1,Afternoon
554,433.6,120.39999999999998,270,17,1,1,1,Evening
488,355.2,132.8,271,18,1,1,1,Evening
341,290.4,50.60000000000002,272,19,1,1,1,Evening
338,258.2,79.80000000000001,273,20,1,1,1,Evening
261,128.0,133.0,274,21,1,1,1,Evening
235,141.6,93.4,275,22,1,1,1,Night
187,139.2,47.80000000000001,276,23,1,1,1,Night
131,134.2,3.1999999999999886,277,0,1,1,1,Night
119,99.6,19.400000000000006,278,1,1,1,1,Night
55,55.4,0.3999999999999986,279,2,1,1,1,Night
26,29.2,3.1999999999999993,280,3,1,1,1,Night
11,18.2,7.199999999999999,281,4,1,1,1,Night
20,20.6,0.6000000000000014,282,5,1,1,1,Morning
41,49.0,8.0,283,6,1,1,1,Morning
124,136.2,12.199999999999989,284,7,1,1,1,Morning
270,303.2,33.19999999999999,285,8,1,1,1,Morning
425,335.2,89.80000000000001,286,9,1,1,1,Morning
272,113.6,158.4,287,10,1,1,2,Morning
298,242.4,55.599999999999994,288,11,1,1,2,Morning
162,348.4,186.39999999999998,289,12,1,1,1,Afternoon
149,324.2,175.2,290,13,1,1,1,Afternoon
276,538.0,262.0,291,14,1,1,1,Afternoon
356,463.0,107.0,292,15,1,1,1,Afternoon
343,282.2,60.80000000000001,293,16,1,1,1,Afternoon
377,189.2,187.8,294,17,1,1,1,Evening
341,300.4,40.60000000000002,295,18,1,1,1,Evening
274,232.8,41.19999999999999,296,19,1,1,1,Evening
190,239.6,49.599999999999994,297,20,1,1,1,Evening
56,134.0,78.0,298,21,1,1,1,Evening
46,75.2,29.200000000000003,299,22,1,1,1,Night
26,22.6,3.3999999999999986,300,23,1,1,1,Night
10,25.0,15.0,301,0,1,1,1,Night
5,12.8,7.800000000000001,302,1,1,1,1,Night
3,4.8,1.7999999999999998,303,2,1,1,1,Night
7,12.2,5.199999999999999,304,3,1,1,1,Night
37,32.6,4.399999999999999,305,5,1,1,1,Morning
161,142.2,18.80000000000001,306,6,1,1,1,Morning
442,499.6,57.60000000000002,307,7,1,1,1,Morning
655,639.4,15.600000000000023,308,8,1,1,1,Morning
357,394.2,37.19999999999999,309,9,1,1,1,Morning
193,193.6,0.5999999999999943,310,10,1,1,1,Morning
241,174.0,67.0,311,11,1,1,1,Morning
282,270.0,12.0,312,12,1,1,1,Afternoon
291,304.0,13.0,313,13,1,1,1,Afternoon
275,248.8,26.19999999999999,314,14,1,1,1,Afternoon
309,260.0,49.0,315,15,1,1,1,Afternoon
460,385.4,74.60000000000002,316,16,1,1,1,Afternoon
893,675.2,217.79999999999995,317,17,1,1,1,Evening
815,590.2,224.79999999999995,318,18,1,1,1,Evening
299,469.6,170.60000000000002,319,19,1,1,1,Evening
261,292.4,31.399999999999977,320,20,1,1,1,Evening
245,253.4,8.400000000000006,321,21,1,1,1,Evening
161,51.8,109.2,322,22,1,1,2,Night
102,69.2,32.8,323,23,1,1,2,Night
59,70.2,11.200000000000003,324,0,0,1,1,Night
33,41.6,8.600000000000001,325,1,0,1,2,Night
8,8.2,0.1999999999999993,326,2,0,1,2,Night
3,5.6,2.5999999999999996,327,3,0,1,2,Night
4,7.2,3.2,328,4,0,1,2,Night
34,39.4,5.399999999999999,329,5,0,1,1,Morning
169,174.2,5.199999999999989,330,6,0,1,1,Morning
519,427.8,91.19999999999999,331,7,0,1,1,Morning
723,704.2,18.799999999999955,332,8,0,1,1,Morning
328,312.8,15.199999999999989,333,9,0,1,1,Morning
178,187.8,9.800000000000011,334,10,0,1,1,Morning
256,216.8,39.19999999999999,335,11,0,1,1,Morning
305,255.6,49.400000000000006,336,12,0,1,1,Afternoon
331,245.6,85.4,337,13,0,1,1,Afternoon
302,318.0,16.0,338,14,0,1,1,Afternoon
302,243.2,58.80000000000001,339,15,0,1,2,Afternoon
467,360.6,106.39999999999998,340,16,0,1,2,Afternoon
878,805.2,72.79999999999995,341,17,0,1,2,Evening
625,671.0,46.0,342,18,0,1,2,Evening
476,530.2,54.200000000000045,343,19,0,1,2,Evening
358,408.2,50.19999999999999,344,20,0,1,2,Evening
280,249.2,30.80000000000001,345,21,0,1,2,Evening
232,159.2,72.80000000000001,346,22,0,1,2,Night
136,86.2,49.8,347,23,0,1,1,Night
55,24.8,30.2,348,0,0,1,1,Night
21,44.2,23.200000000000003,349,1,0,1,1,Night
17,36.4,19.4,350,2,0,1,1,Night
7,35.2,28.200000000000003,351,3,0,1,1,Night
8,7.6,0.40000000000000036,352,4,0,1,1,Night
40,34.4,5.600000000000001,353,5,0,1,2,Morning
187,138.4,48.599999999999994,354,6,0,1,2,Morning
553,367.6,185.39999999999998,355,7,0,1,2,Morning
740,604.6,135.39999999999998,356,8,0,1,1,Morning
376,288.6,87.39999999999998,357,9,0,1,1,Morning
225,182.2,42.80000000000001,358,10,0,1,1,Morning
267,216.8,50.19999999999999,359,11,0,1,1,Morning
312,278.6,33.39999999999998,360,12,0,1,1,Afternoon
316,268.6,47.39999999999998,361,13,0,1,1,Afternoon
266,263.6,2.3999999999999773,362,14,0,1,1,Afternoon
316,238.0,78.0,363,15,0,1,1,Afternoon
460,310.0,150.0,364,16,0,1,1,Afternoon
783,759.4,23.600000000000023,365,17,0,1,1,Evening
683,741.8,58.799999999999955,366,18,0,1,1,Evening
580,367.6,212.39999999999998,367,19,0,1,1,Evening
391,371.8,19.19999999999999,368,20,0,1,1,Evening
351,301.0,50.0,369,21,0,1,1,Evening
281,127.4,153.6,370,22,0,1,2,Night
140,57.8,82.2,371,23,0,1,2,Night
60,26.2,33.8,372,0,0,1,2,Night
25,20.2,4.800000000000001,373,1,0,1,2,Night
20,20.4,0.3999999999999986,374,2,0,1,2,Night
9,15.2,6.199999999999999,375,3,0,1,2,Night
6,20.2,14.2,376,4,0,1,2,Night
37,68.8,31.799999999999997,377,5,0,1,2,Morning
192,151.2,40.80000000000001,378,6,0,1,2,Morning
481,437.6,43.39999999999998,379,7,0,1,2,Morning
707,691.8,15.200000000000045,380,8,0,1,2,Morning
412,352.0,60.0,381,9,0,1,2,Morning
233,211.0,22.0,382,10,0,1,2,Morning
278,214.4,63.599999999999994,383,11,0,1,2,Morning
332,279.4,52.60000000000002,384,12,0,1,2,Afternoon
346,271.0,75.0,385,13,0,1,2,Afternoon
305,282.6,22.399999999999977,386,14,0,1,2,Afternoon
305,310.6,5.600000000000023,387,15,0,1,2,Afternoon
465,388.0,77.0,388,16,0,1,2,Afternoon
820,769.2,50.799999999999955,389,17,0,1,1,Evening
941,788.0,153.0,390,18,0,1,2,Evening
633,602.8,30.200000000000045,391,19,0,1,3,Evening
474,380.8,93.19999999999999,392,20,0,1,3,Evening
329,316.6,12.399999999999977,393,21,0,1,3,Evening
198,130.8,67.19999999999999,394,22,0,1,3,Night
157,104.8,52.2,395,23,0,1,3,Night
111,74.8,36.2,396,12,1,1,2,Afternoon
42,57.6,15.600000000000001,397,13,1,1,2,Afternoon
16,16.2,0.1999999999999993,398,14,1,1,2,Afternoon
8,5.6,2.4000000000000004,399,15,1,1,2,Afternoon
8,42.0,34.0,400,16,1,1,2,Afternoon
38,28.6,9.399999999999999,401,17,1,1,2,Evening
151,110.0,41.0,402,18,1,1,2,Evening
425,413.8,11.199999999999989,403,19,1,1,2,Evening
744,556.0,188.0,404,20,1,1,2,Evening
389,373.4,15.600000000000023,405,21,1,1,2,Evening
262,211.2,50.80000000000001,406,22,1,1,2,Night
281,235.8,45.19999999999999,407,23,1,1,2,Night
371,293.4,77.60000000000002,408,0,1,1,2,Night
351,336.0,15.0,409,1,1,1,3,Night
338,236.2,101.80000000000001,410,2,1,1,3,Night
350,361.0,11.0,411,4,1,1,3,Night
515,456.6,58.39999999999998,412,5,1,1,2,Morning
812,672.4,139.60000000000002,413,6,1,1,2,Morning
736,559.2,176.79999999999995,414,7,1,1,2,Morning
536,601.8,65.79999999999995,415,8,1,1,2,Morning
363,351.4,11.600000000000023,416,9,1,1,2,Morning
306,279.2,26.80000000000001,417,10,1,1,2,Morning
251,87.0,164.0,418,11,1,1,2,Morning
178,163.8,14.199999999999989,419,12,1,1,2,Afternoon
135,114.0,21.0,420,13,1,1,1,Afternoon
115,106.6,8.400000000000006,421,14,1,1,1,Afternoon
79,69.8,9.200000000000003,422,15,1,1,1,Afternoon
38,36.4,1.6000000000000014,423,16,1,1,1,Afternoon
12,11.2,0.8000000000000007,424,17,1,1,1,Evening
14,18.0,4.0,425,18,1,1,1,Evening
30,27.6,2.3999999999999986,426,19,1,1,1,Evening
102,47.6,54.4,427,20,1,1,1,Evening
162,130.8,31.19999999999999,428,21,1,1,1,Evening
288,210.0,78.0,429,22,1,1,1,Night
442,293.0,149.0,430,23,1,1,1,Night
457,363.6,93.39999999999998,431,0,1,1,1,Night
584,388.4,195.60000000000002,432,1,1,1,1,Night
517,402.6,114.39999999999998,433,2,1,1,1,Night
482,369.0,113.0,434,3,1,1,1,Night
233,340.2,107.19999999999999,435,4,1,1,1,Night
434,376.6,57.39999999999998,436,5,1,1,1,Morning
403,257.8,145.2,437,6,1,1,1,Morning
383,268.4,114.60000000000002,438,7,1,1,1,Morning
354,235.4,118.6,439,8,1,1,1,Morning
241,201.6,39.400000000000006,440,9,1,1,2,Morning
208,212.8,4.800000000000011,441,10,1,1,1,Morning
182,198.0,16.0,442,11,1,1,2,Morning
158,142.4,15.599999999999994,443,12,1,1,2,Afternoon
134,123.2,10.799999999999997,444,13,1,1,2,Afternoon
134,93.4,40.599999999999994,445,14,1,1,2,Afternoon
116,90.4,25.599999999999994,446,15,1,1,2,Afternoon
53,48.8,4.200000000000003,447,16,1,1,2,Afternoon
16,50.6,34.6,448,17,1,1,2,Evening
16,13.4,2.5999999999999996,449,18,1,1,2,Evening
21,33.8,12.799999999999997,450,19,1,1,1,Evening
34,44.8,10.799999999999997,451,20,1,1,2,Evening
133,61.2,71.8,452,21,1,1,2,Evening
263,113.2,149.8,453,22,1,1,2,Night
385,241.2,143.8,454,23,1,1,2,Night
482,215.8,266.2,455,0,1,1,2,Night
626,309.2,316.8,456,1,1,1,2,Night
541,161.0,380.0,457,2,1,1,3,Night
377,308.8,68.19999999999999,458,3,1,1,3,Night
391,265.0,126.0,459,4,1,1,2,Night
173,267.6,94.60000000000002,460,5,1,1,1,Morning
233,282.4,49.39999999999998,461,6,1,1,1,Morning
264,207.2,56.80000000000001,462,7,1,1,1,Morning
292,177.2,114.80000000000001,463,8,1,1,1,Morning
211,226.4,15.400000000000006,464,9,1,1,1,Morning
166,221.0,55.0,465,10,1,1,1,Morning
114,127.2,13.200000000000003,466,11,1,1,1,Morning
80,98.0,18.0,467,12,1,1,1,Afternoon
32,47.0,15.0,468,13,1,1,1,Afternoon
7,23.8,16.8,469,14,1,1,1,Afternoon
8,11.2,3.1999999999999993,470,15,1,1,1,Afternoon
4,4.6,0.5999999999999996,471,16,1,1,1,Afternoon
12,8.2,3.8000000000000007,472,17,1,1,1,Evening
36,37.8,1.7999999999999972,473,18,1,1,1,Evening
145,142.0,3.0,474,19,1,1,1,Evening
433,453.4,20.399999999999977,475,20,1,1,1,Evening
699,683.4,15.600000000000023,476,21,1,1,1,Evening
342,340.8,1.1999999999999886,477,22,1,1,1,Night
206,183.6,22.400000000000006,478,23,1,1,1,Night
229,182.8,46.19999999999999,479,0,0,1,1,Night
283,273.4,9.600000000000023,480,1,0,1,2,Night
288,252.4,35.599999999999994,481,2,0,1,2,Night
246,285.2,39.19999999999999,482,3,0,1,2,Night
282,232.4,49.599999999999994,483,4,0,1,2,Night
444,410.0,34.0,484,6,0,1,2,Morning
845,719.0,126.0,485,7,0,1,1,Morning
834,668.0,166.0,486,8,0,1,1,Morning
573,588.6,15.600000000000023,487,9,0,1,1,Morning
416,430.4,14.399999999999977,488,10,0,1,2,Morning
278,351.6,73.60000000000002,489,11,0,1,2,Morning
161,138.2,22.80000000000001,490,12,0,1,2,Afternoon
114,113.2,0.7999999999999972,491,13,0,1,1,Afternoon
38,39.2,1.2000000000000028,492,14,0,1,1,Afternoon
21,20.8,0.1999999999999993,493,15,0,1,1,Afternoon
15,18.8,3.8000000000000007,494,16,0,1,1,Afternoon
4,6.8,2.8,495,17,0,1,1,Evening
8,7.6,0.40000000000000036,496,18,0,1,1,Evening
42,145.6,103.6,497,19,0,1,1,Evening
147,182.8,35.80000000000001,498,20,0,1,1,Evening
269,508.2,239.2,499,21,0,1,1,Evening
693,564.0,129.0,500,22,0,1,1,Night
395,456.0,61.0,501,23,0,1,1,Night
204,196.4,7.599999999999994,502,0,0,1,1,Night
218,196.6,21.400000000000006,503,1,0,1,1,Night
297,212.4,84.6,504,2,0,1,1,Night
288,271.8,16.19999999999999,505,3,0,1,1,Night
251,192.6,58.400000000000006,506,5,0,1,2,Morning
317,208.2,108.80000000000001,507,6,0,1,2,Morning
480,350.4,129.60000000000002,508,7,0,1,1,Morning
864,741.2,122.79999999999995,509,8,0,1,1,Morning
818,621.4,196.60000000000002,510,9,0,1,1,Morning
597,443.8,153.2,511,10,0,1,1,Morning
435,381.2,53.80000000000001,512,11,0,1,1,Morning
314,262.0,52.0,513,12,0,1,1,Afternoon
216,196.2,19.80000000000001,514,13,0,1,1,Afternoon
109,114.6,5.599999999999994,515,14,0,1,1,Afternoon
47,63.6,16.6,516,15,0,1,1,Afternoon
